X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Insider
DM,2023-05-26 10:09:40,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","215,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-30 09:02:13,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","221,882,148",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-25 11:54:22,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","205,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-24 12:20:20,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","195,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-23 14:46:11,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","185,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-04 16:46:07,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","100,215,482",+6%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-31 08:13:21,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","225,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-19 14:23:12,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","175,215,481",+3%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-08 06:03:08,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","125,215,482",+5%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-05-11 13:47:48,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","150,215,481",+4%,989138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
DM,2023-06-01 09:13:10,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+225,548,815","228,548,815",>999%,1041138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
AM,2023-05-11 13:01:20,2023-05-02,BFST,"Business First Bancshares, Inc.",Mansfield Keith,"EVP, COO of b1Bank",P - Purchase,$14.59,"+10,000","64,227",+18%,145915.0,,,,,"Mansfield Keith - EVP, COO of b1Bank"
DM,2023-06-02 10:32:32,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+228,882,148","231,882,148",>999%,1042138.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
M,2023-05-05 16:47:48,2023-05-02,BFST,"Business First Bancshares, Inc.",Mansfield Keith,"EVP, COO of b1Bank",P - Purchase,$14.59,"+10,000","64,227",+18%,145915.0,,,,,"Mansfield Keith - EVP, COO of b1Bank"
,2023-05-04 14:03:14,2023-05-02,TRST,Trustco Bank Corp N Y,Leonard Robert M,"EVP, CHIEF RISK OFFICER",P - Purchase,$28.44,+880,"30,886",+3%,25027.0,,,,,"Leonard Robert M - EVP, CHIEF RISK OFFICER"
,2023-05-03 19:05:16,2023-05-02,TRST,Trustco Bank Corp N Y,Ozimek Michael M,"EVP, CFO",P - Purchase,$28.71,"+1,750","18,083",+11%,50243.0,,,,,"Ozimek Michael M - EVP, CFO"
DM,2023-06-14 14:59:52,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+241,666,666","241,666,666",New,57000.0,,,,,"Grover Vikram P - CEO, Dir, 10%"
