X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
DM,2023-05-03 15:33:20,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","75,215,482",+8%,"+$989,138",,,,
DM,2023-05-11 13:47:48,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","150,215,481",+4%,"+$989,138",,,,
DM,2023-05-19 14:23:12,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","175,215,481",+3%,"+$989,138",,,,
DM,2023-05-23 14:46:11,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","185,215,481",+3%,"+$989,138",,,,
DM,2023-05-24 12:20:20,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","195,215,481",+3%,"+$989,138",,,,
DM,2023-05-25 11:54:22,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","205,215,481",+3%,"+$989,138",,,,
DM,2023-05-26 10:09:40,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","215,215,481",+3%,"+$989,138",,,,
DM,2023-05-30 09:02:13,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","221,882,148",+3%,"+$989,138",,,,
DM,2023-05-08 06:03:08,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","125,215,482",+5%,"+$989,138",,,,
DM,2023-05-31 08:13:21,2023-04-26,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.18,"+5,548,815","225,215,481",+3%,"+$989,138",,,,
