X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
DM,2023-06-13 18:33:21,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+238,333,333","238,333,333",New,"+$56,000",,,,
DM,2023-06-15 10:00:06,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+245,000,000","245,000,000",New,"+$58,000",,,,
DM,2023-06-07 06:15:13,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+233,882,148","236,882,148",>999%,"+$1,043,138",,,,
DM,2023-06-09 16:37:12,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+233,333,333","233,333,333",New,"+$55,000",,,,
DM,2023-06-14 14:59:52,2023-05-02,FOMC,"Fomo Worldwide, Inc.",Grover Vikram P,"CEO, Dir, 10%",P - Purchase,$0.00,"+241,666,666","241,666,666",New,"+$57,000",,,,
,2023-06-02 16:54:37,2023-06-01,BIG,Big Lots Inc,Schlonsky Michael Allen,EVP,P - Purchase,$4.88,"+10,000","201,528",+5%,"+$48,800",,,,
,2023-06-05 16:12:01,2023-06-01,IART,Integra Lifesciences Holdings Corp,Schwartz Eric,"EVP, GC, Sec",P - Purchase,$37.89,"+2,640","48,597",+6%,"+$100,035",,,,
,2023-06-02 16:31:57,2023-06-01,BIG,Big Lots Inc,Robins Ronald A Jr,EVP,P - Purchase,$5.01,"+10,000","169,897",+6%,"+$50,050",,,,
,2023-06-02 16:10:13,2023-06-01,IART,Integra Lifesciences Holdings Corp,De Witte Jan,"Pres, CEO",P - Purchase,$38.50,"+7,792","12,798",+156%,"+$299,986",,,,
,2023-06-06 16:01:14,2023-06-05,ZUMZ,Zumiez Inc,Brooks Richard Miles,"CEO, 10%",P - Purchase,$13.57,"+74,930","2,647,954",+3%,"+$1,016,800",,,,
,2023-06-06 16:00:37,2023-06-05,ZUMZ,Zumiez Inc,Ellis Adam Christopher,Pres International,P - Purchase,$14.67,"+10,000","34,393",+41%,"+$146,700",,,,
A,2023-06-14 16:16:17,2023-06-09,RNAZ,"Transcode Therapeutics, Inc.",Dudley Robert Michael,CEO,P - Purchase,$2.76,"+19,000","61,155",+45%,"+$52,440",,,,
,2023-06-13 16:16:17,2023-06-09,RNAZ,"Transcode Therapeutics, Inc.",Dudley Robert Michael,CEO,P - Purchase,$2.76,"+19,000","912,114",+2%,"+$52,440",,,,
A,2023-06-12 10:45:41,2023-06-09,CC,Chemours Co,Newman Mark,"Pres, CEO",P - Purchase,$32.63,"+7,661","301,590",+3%,"+$249,978",,,,
,2023-06-12 09:21:51,2023-06-09,CC,Chemours Co,Newman Mark,"Pres, CEO",P - Purchase,$34.63,"+7,661","301,590",+3%,"+$265,300",,,,
,2023-06-14 21:53:32,2023-06-12,LSEA,Landsea Homes Corp,Forsum Michael,"Pres, COO",P - Purchase,$7.50,"+13,333","429,441",+3%,"+$99,998",,,,
,2023-06-14 21:54:36,2023-06-12,LSEA,Landsea Homes Corp,Ho John,CEO,P - Purchase,$7.50,"+40,000","467,686",+9%,"+$300,000",,,,
,2023-06-14 21:55:45,2023-06-12,LSEA,Landsea Homes Corp,Porter Christopher T,CFO,P - Purchase,$7.50,"+6,666","62,548",+12%,"+$49,995",,,,
,2023-06-14 16:11:17,2023-06-13,CMTL,Comtech Telecommunications Corp /de/,Bondi Michael,CFO,P - Purchase,$9.29,"+5,000","58,795",+9%,"+$46,450",,,,
M,2023-06-15 15:52:16,2023-06-13,SPFI,"South Plains Financial, Inc.",Griffith Curtis C,"COB, CEO, 10%",P - Purchase,$24.03,"+3,000","2,453,623",0%,"+$72,090",,,,
,2023-06-14 16:10:57,2023-06-13,CMTL,Comtech Telecommunications Corp /de/,Peterman Ken Allen,"COB, Pres, CEO",P - Purchase,$9.32,"+5,400","49,400",+12%,"+$50,332",,,,
AM,2023-06-15 16:46:08,2023-06-13,SPFI,"South Plains Financial, Inc.",Griffith Curtis C,"COB, CEO, 10%",P - Purchase,$24.03,"+3,000","2,453,623",0%,"+$72,090",,,,
