Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Price,Qty,Owned,ΔOwn,Value,Yahoo Link,OpenInsider Link,Graph Image Name,Stock Price CSV File Link,Company Industry,Company Employees,Company Average Volume,Company Market Cap,Company Trailing PE,Company Forward PE,Company Dividend Yield,Company Profit Margins,Company Return on Equity
2023-07-28 16:02:43,2023-07-28,SFST,Southern First Bancshares Inc,National Commercial Banks,3,24.32,7500,157588,5.0,182409,https://finance.yahoo.com/quote/SFST,http://openinsider.com/SFST,SFST_graph.png,SFST_data.csv,Banks—Regional,293,38954,239709088,10.2353945,14.745049,N/A,0.0,N/A
2023-07-28 14:29:45,2023-07-27,AGNC,Agnc Investment Corp.,Real Estate Investment Trusts,2,9.38,15772,226050,8.0,148001,https://finance.yahoo.com/quote/AGNC,http://openinsider.com/AGNC,AGNC_graph.png,AGNC_data.csv,REIT—Mortgage,51,10062827,6177791488,N/A,4.633484,0.1409,0.0,N/A
2023-07-28 09:18:14,2023-07-26,NWBI,Northwest Bancshares Inc.,National Commercial Banks,5,10.9,31509,298900,12.0,343395,https://finance.yahoo.com/quote/NWBI,http://openinsider.com/NWBI,NWBI_graph.png,NWBI_data.csv,Banks—Regional,2088,733774,1572726400,11.458333,13.75,0.0656,0.0,N/A
2023-07-27 17:00:11,2023-07-26,RILY,B. Riley Financial Inc.,Investment Advice,4,55.0,174544,8787525,2.0,9599920,https://finance.yahoo.com/quote/RILY,http://openinsider.com/RILY,RILY_graph.png,RILY_data.csv,Financial Conglomerates,2210,299354,1522135936,N/A,N/A,0.0716,-0.12995,-0.15759
2023-07-25 17:16:06,2023-07-24,AWH,Aspira Women'S Health Inc.,In Vitro & In Vivo Diagnostic Substances,2,3.98,21357,158498,16.0,85001,https://finance.yahoo.com/quote/AWH,http://openinsider.com/AWH,AWH_graph.png,AWH_data.csv,Diagnostics & Research,85,45073,20948794,N/A,-1.9803151,N/A,-2.78483,-2.12387
2023-07-25 12:05:31,2023-07-25,BHLB,Berkshire Hills Bancorp Inc,Savings Institutions Not Federally Chartered,2,20.01,8800,110337,9.0,176085,https://finance.yahoo.com/quote/BHLB,http://openinsider.com/BHLB,BHLB_graph.png,BHLB_data.csv,Banks—Regional,1310,250685,1033355328,10.465505,10.230852,0.0311,0.24152,0.095699996
2023-07-21 17:24:52,2023-07-19,HPK,Highpeak Energy Inc.,Drilling Oil & Gas Wells,8,10.5,8854050,101266831,10.0,92967525,https://finance.yahoo.com/quote/HPK,http://openinsider.com/HPK,HPK_graph.png,HPK_data.csv,Oil & Gas E&P,47,479088,1927161600,6.2625,4.9933553,0.0073,0.3422,0.31712
2023-07-20 18:20:08,2023-07-18,MLKN,Millerknoll Inc.,Office Furniture,4,16.63,90144,283667,47.0,1499371,https://finance.yahoo.com/quote/MLKN,http://openinsider.com/MLKN,MLKN_graph.png,MLKN_data.csv,"Furnishings, Fixtures & Appliances",N/A,873864,1469085440,35.31818,8.557268,0.039,0.010299999,0.02999
2023-07-20 12:10:40,2023-06-22,CAPIX,Calamos Aksia Alternative Credit & Income Fund,Closed-End Funds,7,10.01,2476723,2476723,,24799996,https://finance.yahoo.com/quote/CAPIX,http://openinsider.com/CAPIX,CAPIX_graph.png,CAPIX_data.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-07-17 20:11:42,2023-07-14,CVGW,Calavo Growers Inc,Agricultural Services,2,30.35,77000,551702,16.0,2336680,https://finance.yahoo.com/quote/CVGW,http://openinsider.com/CVGW,CVGW_graph.png,CVGW_data.csv,Food Distribution,3266,140943,681316544,N/A,23.64815,0.0128999995,-0.008590001,-0.04083
2023-07-17 08:54:18,2023-07-06,CDZI,Cadiz Inc,Water Supply,4,3.8,328000,23929309,1.0,1248000,https://finance.yahoo.com/quote/CDZI,http://openinsider.com/CDZI,CDZI_graph.png,CDZI_data.csv,Utilities—Regulated Water,9,576017,277037696,N/A,-21.894737,N/A,0.0,-0.5557
2023-07-10 16:40:48,2023-07-06,EPSN,Epsilon Energy Ltd.,Crude Petroleum & Natural Gas,3,5.01,209300,4212231,5.0,1048036,https://finance.yahoo.com/quote/EPSN,http://openinsider.com/EPSN,EPSN_graph.png,EPSN_data.csv,Oil & Gas E&P,9,109419,133725104,4.13986,10.033899,0.0425,0.50334,0.34982
2023-07-07 16:59:16,2023-07-05,CNXC,Concentrix Corp,Business Services,2,83.31,700,10728,7.0,58319,https://finance.yahoo.com/quote/CNXC,http://openinsider.com/CNXC,CNXC_graph.png,CNXC_data.csv,Information Technology Services,315000,492527,4343872512,11.307588,7.4177775,0.013200001,0.05846,0.13576001
2023-07-05 19:53:13,2023-07-03,KGS,Kodiak Gas Services Inc.,Natural Gas Transmission,6,16.0,44900,204275,28.0,718400,https://finance.yahoo.com/quote/KGS,http://openinsider.com/KGS,KGS_graph.png,KGS_data.csv,Oil & Gas Equipment & Services,765,723409,1404749952,15.739494,N/A,N/A,0.09043,N/A
2023-07-05 08:44:40,2023-05-18,TURN,180 Degree Capital Corp. /ny/,Investors,2,4.62,60709,774300,9.0,280572,https://finance.yahoo.com/quote/TURN,http://openinsider.com/TURN,TURN_graph.png,TURN_data.csv,Asset Management,N/A,21100,47408268,N/A,N/A,N/A,0.0,-0.51136
